# ZSH Performance Metrics Log
# Format: timestamp,metric_type,value,context
# Created: $(date -u '+%Y-%m-%d %H:%M:%S UTC')
2025-08-22 08:36:36 UTC,startup_time,239773,auto
2025-08-22 08:36:36 UTC,startup_std_dev,333952.78177910123,auto
2025-08-22 08:36:39 UTC,startup_time,669958,auto
2025-08-22 08:36:40 UTC,startup_std_dev,973492.65442734596,auto
2025-08-22 08:36:36 UTC,startup_time,580107,auto
2025-08-22 08:36:46 UTC,startup_time,98499,auto
2025-08-22 08:36:49 UTC,startup_std_dev,71612.710865460191,auto
2025-08-22 08:36:47 UTC,startup_std_dev,776782.6341744517,auto
2025-08-22 08:36:50 UTC,startup_std_dev,494136.31620333268,auto
2025-08-22 08:36:52 UTC,startup_time,178792,auto
2025-08-22 08:37:04 UTC,startup_std_dev,277768.45567036583,auto
2025-08-22 08:37:05 UTC,startup_time,681272,auto
2025-08-22 08:37:07 UTC,startup_time,298955,auto
2025-08-22 08:37:20 UTC,startup_std_dev,1022852.1374375183,auto
2025-08-22 08:37:20 UTC,startup_std_dev,488894.74134930107,auto
2025-08-22 08:37:31 UTC,startup_time,-585283349503,auto
2025-08-22 08:37:33 UTC,startup_std_dev,0,auto
2025-08-22 08:37:37 UTC,startup_time,355728,auto
2025-08-22 08:37:40 UTC,startup_time,26676,auto
2025-08-22 08:37:41 UTC,startup_time,104525,auto
2025-08-22 08:37:41 UTC,startup_std_dev,6192.7442220715038,auto
2025-08-22 08:37:44 UTC,startup_std_dev,563394.15484010836,auto
2025-08-22 08:37:44 UTC,startup_std_dev,101573.18192564414,auto
2025-08-22 08:37:48 UTC,startup_time,628783,auto
2025-08-22 08:37:51 UTC,startup_std_dev,891149.6076922213,auto
2025-08-22 08:37:58 UTC,startup_time,186033,auto
2025-08-22 08:38:00 UTC,startup_std_dev,287368.04512854241,auto
2025-08-22 08:38:11 UTC,startup_time,681498,auto
2025-08-22 08:38:12 UTC,startup_std_dev,1043997.784532611,auto
2025-08-22 08:38:37 UTC,startup_time,720480,auto
2025-08-22 08:38:37 UTC,startup_time,-585283276025,auto
2025-08-22 08:38:38 UTC,startup_std_dev,1119597.480361134,auto
2025-08-22 08:38:42 UTC,startup_time,475760,auto
2025-08-22 08:38:42 UTC,startup_time,717808,auto
2025-08-22 08:38:43 UTC,startup_time,581703,auto
2025-08-22 08:38:44 UTC,startup_time,169791,auto
2025-08-22 08:38:43 UTC,startup_std_dev,748140.14397771761,auto
2025-08-22 08:38:44 UTC,startup_time,676475,auto
2025-08-22 08:38:44 UTC,startup_std_dev,257532.74731381249,auto
2025-08-22 08:38:46 UTC,startup_std_dev,967769.4086459853,auto
2025-08-22 08:38:47 UTC,startup_time,421842,auto
2025-08-22 08:38:49 UTC,startup_std_dev,628281.0454104119,auto
2025-08-22 08:38:42 UTC,startup_std_dev,782701.05828119337,auto
2025-08-22 08:38:58 UTC,startup_time,470666,auto
2025-08-22 08:39:00 UTC,startup_std_dev,1541767895.4758337,auto
2025-08-22 08:39:00 UTC,startup_time,171418,auto
2025-08-22 08:39:01 UTC,startup_std_dev,260702.53092941004,auto
2025-08-22 08:39:02 UTC,startup_time,480231,auto
2025-08-22 08:39:02 UTC,startup_std_dev,816352.37812540238,auto
2025-08-22 08:39:04 UTC,startup_time,694570,auto
2025-08-22 08:39:05 UTC,startup_std_dev,1064050.277530625,auto
2025-08-22 08:38:54 UTC,startup_std_dev,1037461.1587054718,auto
2025-08-22 08:39:05 UTC,startup_time,283630,auto
2025-08-22 08:39:06 UTC,startup_std_dev,464487.02197800961,auto
2025-08-22 08:39:10 UTC,startup_time,596836,auto
2025-08-22 08:39:12 UTC,startup_std_dev,1003153.5866142332,auto
2025-08-22 08:39:15 UTC,startup_time,304632,auto
2025-08-22 08:39:21 UTC,startup_std_dev,480615.75147356541,auto
2025-08-22 08:39:23 UTC,startup_time,348463,auto
2025-08-22 08:39:24 UTC,startup_std_dev,575608.29848213622,auto
2025-08-22 08:39:23 UTC,startup_time,572735,auto
2025-08-22 08:39:25 UTC,startup_std_dev,960600.92934891547,auto
2025-08-22 08:39:26 UTC,startup_time,-585283514940,auto
2025-08-22 08:39:34 UTC,startup_std_dev,0,auto
2025-08-22 08:39:36 UTC,startup_time,413588,auto
2025-08-22 08:39:37 UTC,startup_std_dev,678829.98809790367,auto
2025-08-22 08:39:40 UTC,startup_time,-585283408352,auto
2025-08-22 08:39:41 UTC,startup_std_dev,0,auto
2025-08-22 08:39:48 UTC,startup_time,15102,auto
2025-08-22 08:39:55 UTC,startup_std_dev,2597.0930865103778,auto
2025-08-22 08:40:03 UTC,startup_time,743643,auto
2025-08-22 08:40:04 UTC,startup_std_dev,1108109.1951576795,auto
2025-08-22 08:40:10 UTC,startup_time,575854,auto
2025-08-22 08:40:09 UTC,startup_time,14318,auto
2025-08-22 08:40:15 UTC,startup_std_dev,592748.5528122359,auto
2025-08-22 08:40:17 UTC,startup_time,356533,auto
2025-08-22 08:40:14 UTC,startup_std_dev,2695.5836102781154,auto
2025-08-22 08:40:20 UTC,startup_time,585284263850,auto
2025-08-22 08:40:29 UTC,startup_time,-585283512996,auto
2025-08-22 08:40:29 UTC,startup_std_dev,1857033944.2911797,auto
2025-08-22 08:40:30 UTC,startup_time,573665,auto
2025-08-22 08:40:33 UTC,startup_std_dev,282154.17480253591,auto
2025-08-22 08:40:33 UTC,startup_time,706533,auto
2025-08-22 08:40:47 UTC,startup_std_dev,927451.39001890551,auto
2025-08-22 08:40:48 UTC,startup_time,672463,auto
2025-08-22 08:40:42 UTC,startup_std_dev,1863445604.1595318,auto
2025-08-22 08:40:50 UTC,startup_std_dev,857978.77526574046,auto
2025-08-22 08:40:51 UTC,startup_time,610702,auto
2025-08-22 08:40:58 UTC,startup_std_dev,247410.402790586,auto
2025-08-22 08:41:03 UTC,startup_time,665541,auto
2025-08-22 08:41:10 UTC,startup_std_dev,1120220.6125701312,auto
2025-08-22 08:41:11 UTC,startup_time,633946,auto
2025-08-22 08:41:14 UTC,startup_std_dev,211243.67317507998,auto
2025-08-22 08:41:23 UTC,startup_time,714037,auto
2025-08-22 08:41:25 UTC,startup_std_dev,1114039.3508027443,auto
2025-08-22 08:41:31 UTC,startup_time,607944,auto
2025-08-22 08:41:30 UTC,startup_time,678413,auto
2025-08-22 08:41:33 UTC,startup_time,346306,auto
2025-08-22 08:41:36 UTC,startup_std_dev,528974.86222314951,auto
2025-08-22 08:41:40 UTC,startup_std_dev,1136158.1995789583,auto
2025-08-22 08:41:45 UTC,startup_time,652717,auto
2025-08-22 08:41:43 UTC,startup_time,719816,auto
2025-08-22 08:41:48 UTC,startup_std_dev,1017041.4736804002,auto
2025-08-22 08:41:48 UTC,startup_time,493131,auto
2025-08-22 08:41:50 UTC,startup_std_dev,1091984.5652018164,auto
2025-08-22 08:41:55 UTC,startup_time,311507,auto
2025-08-22 08:41:55 UTC,startup_std_dev,497013.59038058505,auto
2025-08-22 08:41:58 UTC,startup_time,581949,auto
2025-08-22 08:41:59 UTC,startup_std_dev,985619.60935545515,auto
2025-08-22 08:41:51 UTC,startup_time,586598,auto
2025-08-22 08:42:00 UTC,startup_std_dev,406294.4279989574,auto
2025-08-22 08:42:02 UTC,startup_std_dev,701981.53403846745,auto
2025-08-22 08:42:04 UTC,startup_time,559357,auto
2025-08-22 08:42:04 UTC,startup_time,308942,auto
2025-08-22 08:42:05 UTC,startup_time,19051,auto
2025-08-22 08:42:14 UTC,startup_std_dev,484438.20918461832,auto
2025-08-22 08:42:16 UTC,startup_std_dev,7980.614293398723,auto
2025-08-22 08:42:20 UTC,startup_time,127440,auto
2025-08-22 08:42:24 UTC,startup_std_dev,187511.80234187926,auto
2025-08-22 08:42:22 UTC,startup_time,52584,auto
2025-08-22 08:42:25 UTC,startup_std_dev,41649.423189283189,auto
2025-08-22 08:42:21 UTC,startup_time,476547,auto
2025-08-22 08:42:29 UTC,startup_std_dev,788052.48689919128,auto
2025-08-22 08:42:46 UTC,startup_time,681501,auto
2025-08-22 08:42:46 UTC,startup_std_dev,1124360.5622052473,auto
2025-08-22 08:42:54 UTC,startup_time,783584,auto
2025-08-22 08:42:57 UTC,startup_time,598597,auto
2025-08-22 08:43:01 UTC,startup_std_dev,639754.4757616003,auto
2025-08-22 08:43:02 UTC,startup_time,-585283440951,auto
2025-08-22 08:43:01 UTC,startup_std_dev,1144812.4832622153,auto
2025-08-22 08:43:02 UTC,startup_std_dev,0,auto
2025-08-22 08:42:52 UTC,startup_time,758732,auto
2025-08-22 08:43:04 UTC,startup_time,478138,auto
2025-08-22 08:43:10 UTC,startup_std_dev,971830.97855825734,auto
2025-08-22 08:43:12 UTC,startup_std_dev,527439.84983360895,auto
2025-08-22 08:43:14 UTC,startup_time,631700,auto
2025-08-22 08:43:15 UTC,startup_std_dev,1049787.7554186846,auto
2025-08-22 08:43:16 UTC,startup_time,701049,auto
2025-08-22 08:43:16 UTC,startup_time,292036,auto
2025-08-22 08:43:16 UTC,startup_time,622885,auto
2025-08-22 08:43:17 UTC,startup_time,743625,auto
2025-08-22 08:43:17 UTC,startup_time,740504,auto
2025-08-22 08:43:18 UTC,startup_std_dev,842016.05995669705,auto
2025-08-22 08:43:20 UTC,startup_std_dev,1223751.8692894813,auto
2025-08-22 08:43:27 UTC,startup_time,757941,auto
2025-08-22 08:43:28 UTC,startup_std_dev,1028494.6755929269,auto
2025-08-22 08:43:29 UTC,startup_std_dev,766255.304146079,auto
2025-08-22 08:43:29 UTC,startup_std_dev,1185684.8209465279,auto
2025-08-22 08:43:30 UTC,startup_std_dev,254897.92362434027,auto
2025-08-22 08:43:36 UTC,startup_time,805194,auto
2025-08-22 08:43:37 UTC,startup_time,732615,auto
2025-08-22 08:43:43 UTC,startup_time,562636,auto
2025-08-22 08:43:43 UTC,startup_time,383576,auto
2025-08-22 08:43:43 UTC,startup_std_dev,630581.7578811649,auto
2025-08-22 08:43:44 UTC,startup_std_dev,1241035.880779037,auto
2025-08-22 08:43:47 UTC,startup_time,278833,auto
2025-08-22 08:43:47 UTC,startup_std_dev,448754.32032794959,auto
2025-08-22 08:43:41 UTC,startup_time,753248,auto
2025-08-22 08:43:55 UTC,startup_time,582679,auto
